dateReference,codeUic,nomGare,nomCommune,passagesTer,passagesIntercites,passagesTgv,passagesAutre,totalPassages
20261210,87212027,Strasbourg,STRASBOURG,582,0,83,0,665
20261210,87286005,Lille Flandres,LILLE,514,0,44,0,558
20261210,87481002,Nantes,NANTES,408,14,60,0,482
20261210,87723197,Lyon Part Dieu,LYON,356,10,110,0,476
20261210,87581009,Bordeaux Saint-Jean,BORDEAUX,304,18,76,0,398
20261210,87141002,Nancy,NANCY,360,4,34,0,398
20261210,87751008,Marseille Saint-Charles,MARSEILLE,297,10,73,0,380
20261210,87192039,Metz,METZ,321,0,41,0,362
20261210,87471003,Rennes,RENNES,284,0,77,0,361
20261210,87611004,Toulouse Matabiau,TOULOUSE,303,27,17,0,347
20261210,87722025,Lyon Perrache,LYON,277,10,50,0,337
20261210,87182063,Mulhouse,MULHOUSE,246,0,34,0,280
20261210,87391003,Paris Montparnasse 1 et 2+Vaugirard,PARIS,75,0,205,0,280
20261210,87271007,Paris Gare du Nord,PARIS,196,0,60,6,262
20261210,87713040,Dijon,DIJON,214,4,38,0,256
20261210,87313874,Amiens,AMIENS,249,0,6,0,255
20261210,87741009,Chambéry Challes les Eaux,CHAMBERY,224,0,16,0,240
20261210,87747006,Grenoble,GRENOBLE,215,0,13,0,228
20261210,87214056,Sélestat,SELESTAT,225,0,2,0,227
20261210,87745497,Annemasse,ANNEMASSE,226,0,0,0,226
20261210,87571000,Tours,TOURS,180,0,13,30,223
20261210,87396002,Le Mans,LE MANS,149,0,60,0,209
20261210,87686006,Paris Gare de Lyon,PARIS,7,0,201,0,208
20261210,87345009,Douai,DOUAI,191,0,14,0,205
20261210,87756056,Nice,NICE,183,2,18,0,203
20261210,87734004,Clermont Ferrand,CLERMONT-FERRAND,181,18,0,0,199
20261210,87171009,Reims,REIMS,183,0,16,0,199
20261210,87726000,Saint-Étienne Châteaucreux,SAINT-ETIENNE,187,0,8,0,195
20261210,87484006,Angers Saint Laud,ANGERS,126,6,55,0,187
20261210,87765008,Avignon Centre,AVIGNON,181,0,4,0,185
20261210,87411017,Rouen Rive Droite,ROUEN,180,0,2,0,182
20261210,87718007,Besançon-Viotte,BESANCON,174,0,6,0,180
20261210,87343004,Valenciennes,VALENCIENNES,173,0,7,0,180
20261210,87113001,Paris Est,PARIS,59,0,120,0,179
20261210,87342014,Arras,ARRAS,136,0,38,0,174
20261210,87571240,Saint-Pierre des Corps,SAINT-PIERRE-DES-CORPS,86,6,51,30,173
20261210,87182014,Colmar,COLMAR,152,0,15,0,167
20261210,87193615,Sarreguemines,SARREGUEMINES,167,0,0,0,167
20261210,87581595,Cenon,CENON,164,0,0,0,164
20261210,87184002,Belfort,BELFORT,159,0,0,0,159
20261210,87286302,Hazebrouck,HAZEBROUCK,150,0,6,0,156
20261210,87345025,Lens,LENS,149,0,7,0,156
20261210,87191007,Thionville,THIONVILLE,139,0,15,0,154
20261210,87592006,Limoges Bénédictins,LIMOGES,134,19,0,0,153
20261210,87775007,Nîmes,NIMES,112,12,29,0,153
20261210,87276006,Creil,CREIL,150,0,0,0,150
20261210,87214577,Molsheim,MOLSHEIM,148,0,0,0,148
20261210,87757625,Cannes,CANNES,126,2,18,0,146
20261210,87757674,Antibes,ANTIBES,124,2,18,0,144
20261210,87214528,Entzheim,ENTZHEIM,138,0,0,0,138
20261210,87721175,Lyon Gorge de Loup,LYON,138,0,0,0,138
20261210,87723478,La Tour du Pin,LA TOUR-DU-PIN,137,0,0,0,137
20261210,87213058,Haguenau,HAGUENAU,133,0,0,0,133
20261210,87611301,Saint-Agne,TOULOUSE,133,0,0,0,133
20261210,87444000,Caen,CAEN,131,0,0,0,131
20261210,87723429,Bourgoin Jallieu,BOURGOIN-JALLIEU,131,0,0,0,131
20261210,87318964,Avignon TGV,AVIGNON,64,0,66,0,130
20261210,87384008,Paris St Lazare,PARIS,129,0,0,0,129
20261210,87191114,Hagondange,HAGONDANGE,128,0,0,0,128
20261210,87584052,Libourne,LIBOURNE,121,0,6,0,127
20261210,87534321,Mulhouse-Dornach (Tram/Train),MULHOUSE,126,0,0,0,126
20261210,87472639,Zu-Rhein,MULHOUSE,126,0,0,0,126
20261210,87534347,Lutterbach-Tram-Train,LUTTERBACH,126,0,0,0,126
20261210,87534339,Mulhouse Musées,MULHOUSE,126,0,0,0,126
20261210,87594002,Brive la Gaillarde,BRIVE-LA-GAILLARDE,106,19,0,0,125
20261210,87212118,Vendenheim,VENDENHEIM,125,0,0,0,125
20261210,87773002,Montpellier Saint-Roch,MONTPELLIER,84,12,29,0,125
20261210,87756320,Cagnes sur Mer,CAGNES-SUR-MER,124,0,0,0,124
20261210,87757666,Juan les Pins,ANTIBES,124,0,0,0,124
20261210,87756346,Saint-Laurent du Var,SAINT-LAURENT-DU-VAR,124,0,0,0,124
20261210,87756254,Nice Saint-Augustin,NICE,124,0,0,0,124
20261210,87721506,Ecully la Demi Lune,TASSIN-LA-DEMI-LUNE,122,0,0,0,122
20261210,87755009,Toulon,TOULON,94,2,26,0,122
20261210,87721159,Lyon Saint-Paul,LYON,122,0,0,0,122
20261210,87721431,L'Arbresle,L'ARBRESLE,122,0,0,0,122
20261210,87781104,Narbonne,NARBONNE,92,12,17,0,121
20261210,87212225,Saverne,SAVERNE,118,0,3,0,121
20261210,87213611,Bischwiller,BISCHWILLER,121,0,0,0,121
20261210,87761007,Valence,VALENCE,117,0,4,0,121
20261210,87763029,Valence TGV Rhône-Alpes Sud,ALIXAN,57,0,63,0,120
20261210,87743716,Ambérieu en Bugey,AMBERIEU-EN-BUGEY,119,0,0,0,119
20261210,87753004,Miramas,MIRAMAS,116,0,3,0,119
20261210,87741132,Aix les Bains le Revard,AIX-LES-BAINS,108,0,10,0,118
20261210,87342006,Béthune,BETHUNE,112,0,6,0,118
20261210,87746008,Annecy,ANNECY,107,0,10,0,117
20261210,87696005,Nevers,NEVERS,96,20,0,0,116
20261210,87575001,Poitiers,POITIERS,73,0,42,0,115
20261210,87747402,Grenoble Universités Gières,GIERES,114,0,0,0,114
20261210,87741181,Montmelian,MONTMELIAN,113,0,0,0,113
20261210,87756486,Menton,MENTON,112,0,0,0,112
20261210,87756379,Beaulieu sur Mer,BEAULIEU-SUR-MER,112,0,0,0,112
20261210,87576009,Vierzon Ville,VIERZON,89,23,0,0,112
20261210,87756361,Villefranche sur Mer,VILLEFRANCHE-SUR-MER,112,0,0,0,112
20261210,87756353,Nice Riquier,NICE,112,0,0,0,112
20261210,87543009,Orléans,ORLEANS,112,0,0,0,112
20261210,87751081,Marseille-Blancarde,MARSEILLE,110,2,0,0,112
20261210,87756478,Carnoles,ROQUEBRUNE-CAP-MARTIN,111,0,0,0,111
20261210,87756387,Eze,EZE,111,0,0,0,111
20261210,87141820,Pont à Mousson,PONT-A-MOUSSON,111,0,0,0,111
20261210,87756395,Cap d'Ail,CAP-D'AIL,111,0,0,0,111
20261210,87756460,Cap Martin Roquebrune,ROQUEBRUNE-CAP-MARTIN,111,0,0,0,111
20261210,87722405,Givors,GIVORS,110,0,0,0,110
20261210,87343103,Saint-Amand les Eaux,SAINT-AMAND-LES-EAUX,110,0,0,0,110
20261210,87286583,Orchies,ORCHIES,110,0,0,0,110
20261210,87317263,Calais,CALAIS,110,0,0,0,110
20261210,87751750,Aubagne,AUBAGNE,110,0,0,0,110
20261210,87296004,Saint-Quentin,SAINT-QUENTIN,101,0,6,2,109
20261210,87726331,Rive de Gier,RIVE-DE-GIER,109,0,0,0,109
20261210,87726307,Saint-Chamond,SAINT-CHAMOND,109,0,0,0,109
20261210,87172007,Charlevilles Mézières,CHARLEVILLE-MEZIERES,105,0,4,0,109
20261210,87144006,Epinal,EPINAL,105,0,4,0,109
20261210,87747329,Moirans,MOIRANS,108,0,0,0,108
20261210,87721282,Saint-Germain au Mont d'Or,SAINT-GERMAIN-AU-MONT-D'OR,108,0,0,0,108
20261210,87295600,Aulnoye Aymeries,AULNOYE-AYMERIES,101,0,0,6,107
20261210,87547000,Paris Austerlitz,PARIS,68,28,11,0,107
20261210,87743005,Bourg en Bresse,BOURG-EN-BRESSE,90,0,16,0,106
20261210,87109306,Lille CHR,LILLE,106,0,0,0,106
20261210,87581751,Pessac,PESSAC,105,0,0,0,105
20261210,87745000,Bellegarde,VALSERHONE,89,0,16,0,105
20261210,87182139,Saint-Louis Haut-Rhin,SAINT-LOUIS,104,0,0,0,104
20261210,87276691,Compiègne,MARGNY-LES-COMPIEGNE,103,0,0,0,103
20261210,87192468,Pagny sur Moselle,PAGNY-SUR-MOSELLE,103,0,0,0,103
20261210,87191130,Uckange,UCKANGE,103,0,0,0,103
20261210,87282624,Lyon Jean Macé,LYON,103,0,0,0,103
20261210,87182568,Thann,THANN,102,0,0,0,102
20261210,87721514,Tassin,TASSIN-LA-DEMI-LUNE,102,0,0,0,102
20261210,87747287,Voiron,VOIRON,102,0,0,0,102
20261210,87212134,Brumath,BRUMATH,101,0,0,0,101
20261210,87296012,Laon,LAON,101,0,0,0,101
20261210,87212142,Mommenheim,MOMMENHEIM,101,0,0,0,101
20261210,87582478,Biganos-Facture,BIGANOS,95,2,2,0,99
20261210,87723395,La Verpilliere,LA VERPILLIERE,99,0,0,0,99
20261210,87394007,Chartres,CHARTRES,93,0,6,0,99
20261210,87481440,Clisson,CLISSON,99,0,0,0,99
20261210,87721001,Lyon Vaise,LYON,99,0,0,0,99
20261210,87723494,Saint-André le Gaz,SAINT-ANDRE-LE-GAZ,98,0,0,0,98
20261210,87725689,Mâcon,MACON,89,4,5,0,98
20261210,87721423,Lozanne,LOZANNE,98,0,0,0,98
20261210,87286179,Bailleul,BAILLEUL,97,0,0,0,97
20261210,87595009,Périgueux,PERIGUEUX,97,0,0,0,97
20261210,87286146,Armentières,ARMENTIERES,97,0,0,0,97
20261210,87174003,Châlons en Champagne,CHALONS-EN-CHAMPAGNE,94,0,2,0,96
20261210,87144014,Saint-Dié des Vosges,SAINT-DIE-DES-VOSGES,93,0,2,0,95
20261210,87182410,Cernay (Haut-Rhin),CERNAY,95,0,0,0,95
20261210,87721332,Villefranche sur Saône,VILLEFRANCHE-SUR-SAONE,95,0,0,0,95
20261210,87481838,Savenay,SAVENAY,95,0,0,0,95
20261210,87182550,Vieux Thann,VIEUX-THANN,94,0,0,0,94
20261210,87181289,Vieux Thann ZI,VIEUX-THANN,94,0,0,0,94
20261210,87725002,Chalon sur Saône,CHALON-SUR-SAONE,85,4,5,0,94
20261210,87171272,Reims Maison Blanche,REIMS,93,0,0,0,93
20261210,87141150,Lunéville,LUNEVILLE,91,0,2,0,93
20261210,87417444,Franchet d'Esperey,REIMS,93,0,0,0,93
20261210,87713545,Beaune,BEAUNE,87,0,4,0,91
20261210,87722587,Vienne,VIENNE,91,0,0,0,91
20261210,87781005,Béziers,BEZIERS,62,11,17,0,90
20261210,87171926,Champagne Ardenne TGV,BEZANNES,54,0,34,0,88
20261210,87721522,Le Meridien la Ferrière,CHARBONNIERES-LES-BAINS,87,0,0,0,87
20261210,87721555,Lentilly,LENTILLY,87,0,0,0,87
20261210,87281006,Dunkerque,DUNKERQUE,77,0,10,0,87
20261210,87734053,Riom-Châtel Guyon,RIOM,73,14,0,0,87
20261210,87566919,Lentilly-Charpenay,LENTILLY,87,0,0,0,87
20261210,87208553,Casino Lacroix Laval,LA TOUR-DE-SALVAGNY,87,0,0,0,87
20261210,87721530,Charbonnières les Bains,CHARBONNIERES-LES-BAINS,87,0,0,0,87
20261210,87726802,Roanne,ROANNE,80,6,0,0,86
20261210,87345256,Libercourt,LIBERCOURT,86,0,0,0,86
20261210,87713578,Chagny,CHAGNY,86,0,0,0,86
20261210,87286518,Seclin,SECLIN,86,0,0,0,86
20261210,87611244,Montauban Ville Bourbon,MONTAUBAN,60,17,9,0,86
20261210,87476606,Vannes,VANNES,66,0,19,0,85
20261210,87147322,Meuse TGV,LES TROIS-DOMAINES,0,0,85,0,85
20261210,87748350,Talence Médoquine,TALENCE,84,0,0,0,84
20261210,87751602,L'Estaque,MARSEILLE,84,0,0,0,84
20261210,87182881,Thann-Saint-Jacques,THANN,83,0,0,0,83
20261210,87194001,Longwy,LONGWY,83,0,0,0,83
20261210,87481192,Ancenis,ANCENIS-SAINT-GEREON,83,0,0,0,83
20261210,87478404,Laval,LAVAL,54,0,28,0,82
20261210,87773200,Sète,SETE,67,3,12,0,82
20261210,87683268,Laroches Migennes,MIGENNES,82,0,0,0,82
20261210,87193003,Forbach,FORBACH,77,0,4,0,81
20261210,87586008,Agen,AGEN,62,6,12,0,80
20261210,87439554,Vitrolles Aeroport Marseille Provence,VITROLLES,80,0,0,0,80
20261210,87721563,Fleurieux sur l'Arbresle,FLEURIEUX-SUR-L'ARBRESLE,80,0,0,0,80
20261210,87474098,Quimper,QUIMPER,62,0,18,0,80
20261210,87446179,Saint-Cyprien Arènes,TOULOUSE,80,0,0,0,80
20261210,87313510,Beauvais,BEAUVAIS,80,0,0,0,80
20261210,87485003,La Rochelle,LA ROCHELLE,58,8,14,0,80
20261210,87181131,Graffenwald,WITTELSHEIM,80,0,0,0,80
20261210,87611467,Colomiers,COLOMIERS,80,0,0,0,80
20261210,87721548,La Tour de Salvagny,LA TOUR-DE-SALVAGNY,80,0,0,0,80
20261210,87673202,Dax,DAX,59,2,18,0,79
20261210,87751404,Aix en Provence,AIX-EN-PROVENCE,79,0,0,0,79
20261210,87583005,Angoulême,ANGOULEME,49,0,30,0,79
20261210,87491001,Saintes,SAINTES,71,8,0,0,79
20261210,87215012,Sarrebourg,SARREBOURG,76,0,3,0,79
20261210,87296442,Tergnier,TERGNIER,78,0,0,0,78
20261210,87474007,Brest,BREST,58,0,20,0,78
20261210,87751438,Simiane,SIMIANE-COLLONGUE,77,0,0,0,77
20261210,87751826,Saint-Antoine,MARSEILLE,77,0,0,0,77
20261210,87444265,Lisieux,LISIEUX,77,0,0,0,77
20261210,87473009,Saint-Brieuc,SAINT-BRIEUC,55,0,22,0,77
20261210,87751420,Gardanne,GARDANNE,77,0,0,0,77
20261210,87472605,Thann Centre,THANN,76,0,0,0,76
20261210,87476002,Lorient,LORIENT,56,0,20,0,76
20261210,87611400,Portet Saint-Simon,PORTET-SUR-GARONNE,76,0,0,0,76
20261210,87673004,Bayonne,BAYONNE,60,6,10,0,76
20261210,87223263,Lille Europe,LILLE,26,0,49,0,75
20261210,87746305,La Roche sur Foron,LA ROCHE-SUR-FORON,75,0,0,0,75
20261210,87295857,Le Quesnoy,LE QUESNOY,75,0,0,0,75
20261210,87782607,Clermont la Pardieu,CLERMONT-FERRAND,75,0,0,0,75
20261210,87214148,Erstein,ERSTEIN,74,0,0,0,74
20261210,87214122,Benfeld,BENFELD,74,0,0,0,74
20261210,87725895,Echirolles,ECHIROLLES,74,0,0,0,74
20261210,87713412,Dole,DOLE,63,0,10,0,73
20261210,87672006,Pau,PAU,57,8,8,0,73
20261210,87784009,Perpignan,PERPIGNAN,60,0,12,0,72
20261210,87576207,Bourges,BOURGES,66,6,0,0,72
20261210,87193250,Bening,BENING-LES-SAINT-AVOLD,72,0,0,0,72
20261210,87471300,Redon,REDON,64,0,8,0,72
20261210,87393009,Versailles Chantiers,VERSAILLES,64,0,7,0,71
20261210,87615344,Saint-Sulpice (Tarn),SAINT-SULPICE-LA-POINTE,71,0,0,0,71
20261210,87192237,Remilly,REMILLY,70,0,0,0,70
20261210,87471391,Pontchaillou,RENNES,70,0,0,0,70
20261210,87313049,Longueau,BOVES,70,0,0,0,70
20261210,87773457,Baillargues,BAILLARGUES,70,0,0,0,70
20261210,87313080,Saint-Roch,AMIENS,70,0,0,0,70
20261210,87773408,Lunel,LUNEL,70,0,0,0,70
20261210,87413385,Yvetot,YVETOT,70,0,0,0,70
20261210,87313072,Albert,ALBERT,70,0,0,0,70
20261210,87761718,Saint-Marcellin (Isère),SAINT-MARCELLIN,69,0,0,0,69
20261210,87615286,Carcassonne,CARCASSONNE,52,12,5,0,69
20261210,87286435,Don Sainghin,SAINGHIN-EN-WEPPES,69,0,0,0,69
20261210,87726729,Firminy,FIRMINY,69,0,0,0,69
20261210,87726190,Saint-Etienne Bellevue,SAINT-ETIENNE,68,0,0,0,68
20261210,87696328,Moulins sur Allier,MOULINS,48,20,0,0,68
20261210,87345520,Cambrai,CAMBRAI,68,0,0,0,68
20261210,87703975,Nîmes Pont du Gard,MANDUEL,41,0,27,0,68
20261210,87411207,Oissel,OISSEL,68,0,0,0,68
20261210,87755231,Ollioules-Sanary sur Mer,OLLIOULES,68,0,0,0,68
20261210,87765206,Sorgues-Châteauneuf du Pape,SORGUES,68,0,0,0,68
20261210,87751784,La Ciotat,LA CIOTAT,68,0,0,0,68
20261210,87726901,Saint-Etienne Carnot,SAINT-ETIENNE,68,0,0,0,68
20261210,87213603,Marienthal,HAGUENAU,67,0,0,0,67
20261210,87742262,Toulon Sainte-Musse,TOULON,67,0,0,0,67
20261210,87171553,Epernay,EPERNAY,67,0,0,0,67
20261210,87773556,Frontignan,FRONTIGNAN,67,0,0,0,67
20261210,87755314,La Pauline Hyères,LA GARDE,67,0,0,0,67
20261210,87543017,Les Aubrais Orléans,FLEURY-LES-AUBRAIS,55,9,3,0,67
20261210,87732008,Vichy,VICHY,53,14,0,0,67
20261210,87726828,Le Coteau,LE COTEAU,67,0,0,0,67
20261210,87755306,La Garde,LA GARDE,67,0,0,0,67
20261210,87747493,Pontcharra sur Breda Allevard,PONTCHARRA,67,0,0,0,67
20261210,87212266,Fegersheim-Lipsheim,LIPSHEIM,67,0,0,0,67
20261210,87214247,Barr,BARR,66,0,0,0,66
20261210,87413344,Bréauté-Beuzeville,BREAUTE,66,0,0,0,66
20261210,87175042,Bar le Duc,BAR-LE-DUC,42,0,24,0,66
20261210,87144410,Arches,ARCHES,66,0,0,0,66
20261210,87141135,Blainville-Damelevières,DAMELEVIERES,66,0,0,0,66
20261210,87396408,Sablé,SABLE-SUR-SARTHE,60,0,6,0,66
20261210,87141077,Frouard,FROUARD,66,0,0,0,66
20261210,87182055,Mulhouse-Dornach,MULHOUSE,66,0,0,0,66
20261210,87213660,Kurtzenhouse,KURTZENHOUSE,65,0,0,0,65
20261210,87212100,Mundolsheim,MUNDOLSHEIM,65,0,0,0,65
20261210,87753251,Rognac,ROGNAC,65,0,0,0,65
20261210,87213678,Weyersheim,WEYERSHEIM,65,0,0,0,65
20261210,87214320,Rosheim,ROSHEIM,65,0,0,0,65
20261210,87213686,Hoerdt,HOERDT,65,0,0,0,65
20261210,87722546,Serezin,SEREZIN-DU-RHONE,65,0,0,0,65
20261210,87471508,Vitré,VITRE,60,0,4,0,64
20261210,87317065,Etaples-le Touquet,ETAPLES,61,0,3,0,64
20261210,87214551,Dachstein,MOLSHEIM,64,0,0,0,64
20261210,87214536,Duppigheim,DUPPIGHEIM,64,0,0,0,64
20261210,87757641,Golfe Juan Vallauris,VALLAURIS,64,0,0,0,64
20261210,87319012,Aix en Provence-TGV,AIX-EN-PROVENCE,0,0,64,0,64
20261210,87726158,Saint-Etienne la Terrasse,SAINT-ETIENNE,64,0,0,0,64
20261210,87191163,Hettange Grande,HETTANGE-GRANDE,64,0,0,0,64
20261210,87473207,Guingamp,GUINGAMP,50,0,14,0,64
20261210,87755447,Les Arcs Draguignan,LES ARCS,53,2,9,0,64
20261210,87141010,Jarville la Malgrange,JARVILLE-LA-MALGRANGE,64,0,0,0,64
20261210,87213470,Wissembourg,WISSEMBOURG,64,0,0,0,64
20261210,87214544,Duttlenheim,DACHSTEIN,64,0,0,0,64
20261210,87756304,Villeneuve Loubet Plage,VILLENEUVE-LOUBET,64,0,0,0,64
20261210,87141101,Varangeville Saint-Nicolas,VARANGEVILLE,64,0,0,0,64
20261210,87212258,Geispolsheim,GEISPOLSHEIM,63,0,0,0,63
20261210,87694307,Montchanin,MONTCHANIN,63,0,0,0,63
20261210,87345140,Billy Montigny,BILLY-MONTIGNY,63,0,0,0,63
20261210,87345157,Hénin Beaumont,HENIN-BEAUMONT,63,0,0,0,63
20261210,87345165,Dourges,DOURGES,63,0,0,0,63
20261210,87345249,Ostricourt,OSTRICOURT,63,0,0,0,63
20261210,87295006,Maubeuge,MAUBEUGE,63,0,0,0,63
20261210,87394114,Epernon,EPERNON,62,0,0,0,62
20261210,87212191,Strasbourg Roethig,STRASBOURG,62,0,0,0,62
20261210,87394130,Maintenon,MAINTENON,62,0,0,0,62
20261210,87271494,Aéroport Charles de Gaulle 2 TGV,TREMBLAY-EN-FRANCE,0,0,62,0,62
20261210,87756338,Cros de Cagnes,CAGNES-SUR-MER,62,0,0,0,62
20261210,87611038,Muret,MURET,62,0,0,0,62
20261210,87317586,Boulogne,BOULOGNE-SUR-MER,52,0,10,0,62
20261210,87721605,Sain Bel,SAIN-BEL,62,0,0,0,62
20261210,87761759,Tullins-Fures,TULLINS,62,0,0,0,62
20261210,87757690,Biot,ANTIBES,62,0,0,0,62
20261210,87111849,Marne la Vallée Chessy,CHESSY,0,0,62,0,62
20261210,87214288,Obernai,OBERNAI,62,0,0,0,62
20261210,87214502,Lingolsheim,LINGOLSHEIM,62,0,0,0,62
20261210,87214338,Dorlisheim,DORLISHEIM,62,0,0,0,62
20261210,87214296,Bischoffsheim,BISCHOFFSHEIM,62,0,0,0,62
20261210,87276279,Orry la Ville Coye,ORRY-LA-VILLE,61,0,0,0,61
20261210,87476200,Auray,AURAY,48,0,13,0,61
20261210,87276113,Chantilly-Gouvieux,CHANTILLY,61,0,0,0,61
20261210,87342436,La Bassée,LA BASSEE,61,0,0,0,61
20261210,87721266,Albigny-Neuville,ALBIGNY-SUR-SAONE,61,0,0,0,61
20261210,87781278,Agde,AGDE,52,0,8,0,60
20261210,87755215,Saint-Cyr les Lecques la Cadière,SAINT-CYR-SUR-MER,60,0,0,0,60
20261210,87755223,Bandol,BANDOL,60,0,0,0,60
20261210,87141044,Toul,TOUL,56,4,0,0,60
20261210,87775114,Vergèze Codognan,VERGEZE,60,0,0,0,60
20261210,87686667,Paris Bercy,PARIS,44,16,0,0,60
20261210,87381509,Mantes la Jolie,MANTES-LA-JOLIE,58,0,2,0,60
20261210,87751776,Cassis,CASSIS,60,0,0,0,60
20261210,87755264,La Seyne Six Fours,LA SEYNE-SUR-MER,60,0,0,0,60
20261210,87683003,Sens,SENS,59,0,0,0,59
20261210,87444208,Mézidon,MEZIDON VALLEE D'AUGE,59,0,0,0,59
20261210,87286625,Templeuve,TEMPLEUVE-EN-PEVELE,59,0,0,0,59
20261210,87144097,Thaon,THAON-LES-VOSGES,59,0,0,0,59
20261210,87212464,Lauterbourg,LAUTERBOURG,59,0,0,0,59
20261210,87683243,Joigny,JOIGNY,59,0,0,0,59
20261210,87213165,Obermodern,OBERMODERN-ZUTZENDORF,59,0,0,0,59
20261210,87574004,Blois,BLOIS,56,0,3,0,59
20261210,87478073,Dol,DOL-DE-BRETAGNE,55,0,4,0,59
20261210,87611665,Castelnau d'Estrétefonds,CASTELNAU-D'ESTRETEFONDS,59,0,0,0,59
20261210,87746875,Vallorcine,VALLORCINE,59,0,0,0,59
20261210,87172254,Sedan,SEDAN,54,0,4,0,58
20261210,87317362,Abbeville,ABBEVILLE,58,0,0,0,58
20261210,87487603,Saumur,SAUMUR,47,6,5,0,58
20261210,87393314,Rambouillet,RAMBOUILLET,58,0,0,0,58
20261210,87144055,Charmes Vosges,CHARMES,58,0,0,0,58
20261210,87212126,Stephansfeld,BRUMATH,58,0,0,0,58
20261210,87317305,Les Fontinettes,CALAIS,58,0,0,0,58
20261210,87718320,Saint-Vit,SAINT-VIT,58,0,0,0,58
20261210,87213256,Niederbronn,NIEDERBRONN-LES-BAINS,58,0,0,0,58
20261210,87474239,Landerneau,LANDERNEAU,56,0,2,0,58
20261210,87734202,Issoire,ISSOIRE,56,2,0,0,58
20261210,87144071,Chatel Nomexy,NOMEXY,57,0,0,0,57
20261210,87759290,Picon Busserine,MARSEILLE,57,0,0,0,57
20261210,87713347,Auxonne,TILLENAY,57,0,0,0,57
20261210,87751800,Septèmes,SEPTEMES-LES-VALLONS,57,0,0,0,57
20261210,87751842,Sainte-Marthe en Provence,MARSEILLE,57,0,0,0,57
20261210,87641001,Montluçon,MONTLUCON,57,0,0,0,57
20261210,87756494,Menton-Garavan,MENTON,57,0,0,0,57
20261210,87447219,Lison,MOON-SUR-ELLE,57,0,0,0,57
20261210,87582775,Langon,LANGON,57,0,0,0,57
20261210,87295063,Hirson,HIRSON,57,0,0,0,57
20261210,87759316,Saint-Joseph le Castellas,MARSEILLE,57,0,0,0,57
20261210,87734186,Vic le Comte,VIC-LE-COMTE,57,0,0,0,57
20261210,87286641,Fretin,FRETIN,56,0,0,0,56
20261210,87286575,Landas,LANDAS,56,0,0,0,56
20261210,87746511,Reignier,REIGNIER-ESERY,56,0,0,0,56
20261210,87478032,Montreuil sur Ille,MONTREUIL-SUR-ILLE,56,0,0,0,56
20261210,87721357,Belleville sur Sâone,BELLEVILLE-EN-BEAUJOLAIS,56,0,0,0,56
20261210,87543165,Salbris,SALBRIS,56,0,0,0,56
20261210,87286567,Rosult,ROSULT,56,0,0,0,56
20261210,87286849,Lesquin,LESQUIN,56,0,0,0,56
20261210,87582668,Arcachon,ARCACHON,54,0,2,0,56
20261210,87193318,Saint-Avold,VALMONT,55,0,0,0,55
20261210,87193359,Faulquemont,FAULQUEMONT,55,0,0,0,55
20261210,87141218,Bayon,VIRECOURT,55,0,0,0,55
20261210,87413013,Le Havre,LE HAVRE,53,0,2,0,55
20261210,87300863,Besançon Franche-Comté TGV,LES AUXONS,30,0,25,0,55
20261210,87756775,Drap-Cantaron,CANTARON,54,0,0,0,54
20261210,87281444,Saint-Omer,SAINT-OMER,54,0,0,0,54
20261210,87214130,Matzenheim,MATZENHEIM,54,0,0,0,54
20261210,87582445,Marcheprime,MARCHEPRIME,54,0,0,0,54
20261210,87338525,Krimmeri Meinau,STRASBOURG,54,0,0,0,54
20261210,87582403,Gazinet Cestas,CESTAS,54,0,0,0,54
20261210,87761163,Tain l'Hermitage Tournon,TAIN-L'HERMITAGE,54,0,0,0,54
20261210,87582601,Le Teich,LE TEICH,54,0,0,0,54
20261210,87751529,L'Ariane la Trinité,LA TRINITE,54,0,0,0,54
20261210,87753285,Pas des Lanciers,MARIGNANE,54,0,0,0,54
20261210,87582643,La Teste,LA TESTE-DE-BUCH,54,0,0,0,54
20261210,87444067,Bayeux,BAYEUX,54,0,0,0,54
20261210,87590299,Nice Pont Michel,NICE,54,0,0,0,54
20261210,87753202,Saint-Chamas,SAINT-CHAMAS,54,0,0,0,54
20261210,87723353,Saint-Priest,SAINT-PRIEST,54,0,0,0,54
20261210,87581793,Alouette France,PESSAC,54,0,0,0,54
20261210,87582619,Gujan Mestras,GUJAN-MESTRAS,54,0,0,0,54
20261210,87582635,La Hume,GUJAN-MESTRAS,54,0,0,0,54
20261210,87756767,La Trinité Victor,LA TRINITE,54,0,0,0,54
20261210,87387001,Evreux Normandie,EVREUX,53,0,0,0,53
20261210,87582742,Cérons,CERONS,53,0,0,0,53
20261210,87486019,La Roche sur Yon,LA ROCHE-SUR-YON,41,8,4,0,53
20261210,87722678,Le Péage de Roussillon,LE PEAGE-DE-ROUSSILLON,53,0,0,0,53
20261210,87214114,Kogenheim,KOGENHEIM,53,0,0,0,53
20261210,87582700,Beautiran,BEAUTIRAN,53,0,0,0,53
20261210,87214106,Ebersheim,EBERSHEIM,53,0,0,0,53
20261210,87481705,Saint-Nazaire,SAINT-NAZAIRE,45,0,8,0,53
20261210,87746149,Rumilly,RUMILLY,53,0,0,0,53
20261210,87713313,Genlis,GENLIS,53,0,0,0,53
20261210,87721324,Anse,ANSE,53,0,0,0,53
20261210,87175257,Commercy,COMMERCY,31,0,22,0,53
